Package,LibPath,Version,Priority,Depends,Imports,LinkingTo,Suggests,Enhances,License,License_is_FOSS,License_restricts_use,OS_type,MD5sum,NeedsCompilation,Built
evdbayes,D:/software/R/R-3.6.3/library,1.1-1,NA,R (>= 1.8.0),NA,NA,NA,NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.0
evtree,D:/software/R/R-3.6.3/library,1.0-8,NA,"R (>= 3.3.0), partykit",NA,NA,"Formula, kernlab, lattice, mlbench, multcomp, party, rpart,
xtable",NA,GPL-2 | GPL-3,NA,NA,NA,NA,yes,3.6.3
expm,D:/software/R/R-3.6.3/library,0.999-4,NA,Matrix,methods,NA,"RColorBrewer, sfsmisc, Rmpfr",NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.3
ExPosition,D:/software/R/R-3.6.3/library,2.8.23,NA,prettyGraphs (>= 2.1.4),NA,NA,NA,NA,GPL-2,NA,NA,NA,NA,no,3.6.0
extraDistr,D:/software/R/R-3.6.3/library,1.8.11,NA,R (>= 3.1.0),Rcpp,Rcpp,"testthat, LaplacesDemon, VGAM, evd, hoa, skellam, triangle,
actuar",NA,GPL-2,NA,NA,NA,NA,yes,3.6.3
extrafont,D:/software/R/R-3.6.3/library,0.17,NA,R (>= 2.15),"extrafontdb, grDevices, utils, Rttf2pt1",NA,fontcm,NA,GPL-2,NA,NA,NA,NA,no,3.6.2
extraTrees,D:/software/R/R-3.6.3/library,1.0.5,NA,"R (>= 2.7.0), rJava (>= 0.5-0)",NA,NA,"testthat, Matrix",NA,Apache License 2.0,NA,NA,NA,NA,no,3.6.3
FactoInvestigate,D:/software/R/R-3.6.3/library,1.6,NA,R (>= 3.5.0),"FactoMineR, stats, methods, graphics, rrcov, rmarkdown,
parallel, ggplot2",NA,NA,NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.3
FactoMineR,D:/software/R/R-3.6.3/library,2.3,NA,R (>= 3.5.0),"car,cluster,ellipse,flashClust,graphics,grDevices,lattice,leaps,MASS,scatterplot3d,stats,utils,ggplot2,ggrepel",NA,"missMDA,knitr,Factoshiny",NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.3
Factoshiny,D:/software/R/R-3.6.3/library,2.2,NA,"FactoMineR (>= 2.0),shiny,FactoInvestigate (>= 1.5),ggplot2","DT,colourpicker,grDevices,tcltk,ggrepel,shinydashboard,shinyjqui,missMDA",NA,NA,NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.3
Fahrmeir,D:/software/R/R-3.6.3/library,2016.5.31,NA,"stats, R (>= 2.1.0)",NA,NA,MASS,NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.3
fansi,D:/software/R/R-3.6.3/library,0.4.1,NA,R (>= 3.1.0),NA,NA,"unitizer, knitr, rmarkdown",NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.3
faraway,D:/software/R/R-3.6.3/library,1.0.7,NA,R (>= 2.10),"lme4,nlme,methods",NA,NA,NA,GPL,NA,NA,NA,NA,no,3.6.3
farver,D:/software/R/R-3.6.3/library,2.0.3,NA,NA,NA,NA,"testthat (>= 2.1.0), covr",NA,MIT + file LICENSE,NA,NA,NA,NA,yes,3.6.3
fastAdaboost,D:/software/R/R-3.6.3/library,1.0.0,NA,R (>= 3.1.2),"Rcpp, rpart",Rcpp (>= 0.12.0),"testthat, knitr, MASS",NA,MIT + file LICENSE,NA,NA,NA,NA,yes,3.6.3
fastICA,D:/software/R/R-3.6.3/library,1.2-2,NA,R (>= 3.0.0),NA,NA,MASS,NA,GPL-2 | GPL-3,NA,NA,NA,NA,yes,3.6.3
fastmap,D:/software/R/R-3.6.3/library,1.0.1,NA,NA,NA,NA,testthat (>= 2.1.1),NA,MIT + file LICENSE,NA,NA,NA,NA,yes,3.6.3
fastmatch,D:/software/R/R-3.6.3/library,1.1-0,NA,NA,NA,NA,NA,NA,GPL-2,NA,NA,NA,NA,yes,3.6.0
fastNaiveBayes,D:/software/R/R-3.6.3/library,2.2.0,NA,R (>= 3.2.0),"Matrix, stats",NA,"knitr, rmarkdown, testthat",NA,GPL-3,NA,NA,NA,NA,no,3.6.3
fastshap,D:/software/R/R-3.6.3/library,0.0.5,NA,NA,"abind, ggplot2, gridExtra, matrixStats, plyr, Rcpp (>= 1.0.1),
tibble","Rcpp, RcppArmadillo","AmesHousing, covr, earth, htmltools, knitr, ranger,
reticulate, rmarkdown, rstudioapi, tinytest, titanic, xgboost",NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.3
fBasics,D:/software/R/R-3.6.3/library,3042.89.1,NA,"R (>= 2.15.1), timeDate, timeSeries","stats, grDevices, graphics, methods, utils, MASS, spatial,
gss, stabledist",NA,"akima, RUnit, tcltk",NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.3
FD,D:/software/R/R-3.6.3/library,1.0-12,NA,"ade4, ape, geometry, vegan",NA,NA,NA,NA,GPL-2,NA,NA,NA,NA,yes,3.6.3
fda,D:/software/R/R-3.6.3/library,2.4.8.1,NA,"R (>= 2.10.0), splines, Matrix, graphics",NA,NA,"deSolve, R.matlab, quadprog, nlme, lattice, RCurl, zoo",NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.3
fda.usc,D:/software/R/R-3.6.3/library,2.0.2,NA,"R (>= 2.10), fda, splines, MASS, mgcv","methods, grDevices, graphics, utils, stats, nlme, doParallel,
parallel, iterators, foreach",NA,rmarkdown,NA,GPL-2,NA,NA,NA,NA,yes,3.6.3
FDboost,D:/software/R/R-3.6.3/library,0.3-2,NA,"R (>= 3.2.0), methods, mboost (>= 2.8-0)","graphics, grDevices, utils, stats, Matrix, gamboostLSS (>=
2.0-0), stabs, mgcv, MASS, zoo",NA,"fda, fields, ggplot2, maps, mapdata, knitr, refund, testthat",NA,GPL-2,NA,NA,NA,NA,no,3.6.3
fdrtool,D:/software/R/R-3.6.3/library,1.2.15,NA,R (>= 3.0.2),"graphics, grDevices, stats",NA,,NA,GPL (>= 3),NA,NA,NA,NA,yes,3.6.0
feather,D:/software/R/R-3.6.3/library,0.3.5,NA,NA,"Rcpp, tibble (>= 2.0.0), hms",Rcpp,testthat,NA,Apache License 2.0,NA,NA,NA,NA,yes,3.6.3
ff,D:/software/R/R-3.6.3/library,2.2-14,NA,"R (>= 2.10.1), bit (>= 1.1-13), utils",NA,NA,biglm,NA,GPL-2 | file LICENSE,NA,NA,NA,NA,yes,3.6.3
ffbase,D:/software/R/R-3.6.3/library,0.12.8,NA,"R (>= 2.12.0),ff(>= 2.2-11)","fastmatch, bit",NA,"testthat, parallel, LaF, biglm",NA,GPL-3,NA,NA,NA,NA,yes,3.6.3
fftw,D:/software/R/R-3.6.3/library,1.0-6,NA,R (>= 3.0.0),NA,NA,NA,NA,GPL-2,NA,NA,NA,NA,yes,3.6.2
fftwtools,D:/software/R/R-3.6.3/library,0.9-8,NA,R (>= 2.15.2),NA,NA,fftw,NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.2
fGarch,D:/software/R/R-3.6.3/library,3042.83.2,NA,"R (>= 2.15.1), timeDate, timeSeries, fBasics","fastICA, Matrix, graphics, methods, stats, utils",NA,"RUnit, tcltk",NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.3
fields,D:/software/R/R-3.6.3/library,10.3,NA,"R (>= 3.0), methods, spam, maps",NA,NA,NA,NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.3
filehash,D:/software/R/R-3.6.3/library,2.4-2,NA,"R (>= 3.0.0), methods",NA,NA,NA,NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.0
fit.models,D:/software/R/R-3.6.3/library,0.5-14,NA,NA,"lattice, stats",NA,MASS,NA,GPL,NA,NA,NA,NA,no,3.6.3
fitdistrplus,D:/software/R/R-3.6.3/library,1.0-14,NA,"R (>= 3.2.0), MASS, grDevices, survival, methods, npsurv",stats,NA,"actuar, rgenoud, mc2d, gamlss.dist, knitr, knitcitations,
ggplot2, GeneralizedHyperbolic",NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.3
flare,D:/software/R/R-3.6.3/library,1.6.0.2,NA,"R (>= 2.15.0), lattice, MASS, Matrix, igraph",methods,NA,NA,NA,GPL-2,NA,NA,NA,NA,yes,3.6.3
flashClust,D:/software/R/R-3.6.3/library,1.01-2,NA,R (>= 2.3.0),NA,NA,NA,NA,GPL (>= 2),NA,NA,NA,NA,NA,3.6.0
flexdashboard,D:/software/R/R-3.6.3/library,0.5.1.1,NA,R (>= 3.0.2),"tools, jsonlite, htmltools, knitr (>= 1.13), htmlwidgets (>=
0.6), rmarkdown (>= 1.0), shiny (>= 0.13)",NA,testthat,NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.6.3
flexmix,D:/software/R/R-3.6.3/library,2.3-15,NA,"R (>= 2.15.0), lattice","graphics, grid, grDevices, methods, modeltools (>= 0.2-16),
nnet, stats, stats4, utils",NA,"actuar, codetools, diptest, Ecdat, ellipse, gclus, glmnet,
lme4 (>= 1.1), MASS, mgcv (>= 1.8-0), mlbench, multcomp,
mvtnorm, SuppDists, survival",NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.3
flexsurv,D:/software/R/R-3.6.3/library,1.1.1,NA,"survival, R (>= 2.15.0)","mstate (>= 0.2.10), muhaz, mvtnorm, deSolve, quadprog, Rcpp
(>= 0.11.5), tidyr, tibble",Rcpp,"eha,numDeriv,testthat,msm,knitr,TH.data,colorspace",NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.3
flextable,D:/software/R/R-3.6.3/library,0.5.9,NA,NA,"stats, utils, grDevices, graphics, officer (>= 0.3.6),
rmarkdown, knitr, htmltools, xml2, data.table, gdtools (>=
0.1.6), rlang, base64enc",NA,"testthat, xtable, magrittr, webshot, magick, ggplot2",NA,GPL-3,NA,NA,NA,NA,no,3.6.3
float,D:/software/R/R-3.6.3/library,0.2-3,NA,"R (>= 3.6.0), methods","utils, tools",NA,NA,NA,BSD 2-clause License + file LICENSE,NA,NA,NA,NA,yes,3.6.0
FME,D:/software/R/R-3.6.3/library,1.3.6.1,NA,"R (>= 2.6), deSolve, rootSolve, coda","minpack.lm, MASS, graphics, grDevices, stats, utils, minqa",NA,diagram,NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.3
FMStable,D:/software/R/R-3.6.3/library,0.1-2,NA,NA,NA,NA,NA,NA,GPL-3,NA,NA,NA,NA,NA,3.6.0
FNN,D:/software/R/R-3.6.3/library,1.1.3,NA,R (>= 3.0.0),NA,NA,"chemometrics, mvtnorm",NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.3
foghorn,D:/software/R/R-3.6.3/library,1.1.5,NA,R (>= 3.1.0),"clisymbols (>= 1.0.0), crayon (>= 1.3.2), curl (>= 2.2), httr
(>= 1.2.1), jsonlite (>= 1.5), rvest (>= 0.3.2), tibble (>=
1.2), xml2 (>= 1.0.0)",NA,"covr, dplyr, knitr, progress, rmarkdown, testthat",NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.6.3
fontcm,D:/software/R/R-3.6.3/library,1.1,NA,R (>= 2.14),NA,NA,extrafont,NA,GPL-2,NA,NA,NA,NA,no,3.6.2
fontquiver,D:/software/R/R-3.6.3/library,0.2.1,NA,R (>= 3.0.0),"fontBitstreamVera (>= 0.1.0), fontLiberation (>= 0.1.0)",NA,"testthat, htmltools",NA,GPL-3 | file LICENSE,NA,NA,NA,NA,no,3.6.3
forcats,D:/software/R/R-3.6.3/library,0.5.0,NA,R (>= 3.2),"ellipsis, magrittr, rlang, tibble",NA,"covr, ggplot2, testthat, readr, knitr, rmarkdown, dplyr",NA,GPL-3,NA,NA,NA,NA,no,3.6.3
foreach,D:/software/R/R-3.6.3/library,1.5.0,NA,R (>= 2.5.0),"codetools, utils, iterators",NA,"randomForest, doMC, doParallel, testthat, knitr, rmarkdown",NA,Apache License (== 2.0),NA,NA,NA,NA,no,3.6.3
forecast,D:/software/R/R-3.6.3/library,8.12,NA,"R (>= 3.0.2),","colorspace, fracdiff, ggplot2 (>= 2.2.1), graphics, lmtest,
magrittr, nnet, parallel, Rcpp (>= 0.11.0), stats, timeDate,
tseries, urca, zoo","Rcpp (>= 0.11.0), RcppArmadillo (>= 0.2.35)","uroot, knitr, rmarkdown, rticles, testthat, methods",NA,GPL-3,NA,NA,NA,NA,yes,3.6.3
foreign,D:/software/R/R-3.6.3/library,0.8-76,recommended,R (>= 3.0.0),"methods, utils, stats",NA,NA,NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.3
formatR,D:/software/R/R-3.6.3/library,1.7,NA,R (>= 3.0.2),NA,NA,"codetools, shiny, testit, rmarkdown, knitr",NA,GPL,NA,NA,NA,NA,no,3.6.3
formattable,D:/software/R/R-3.6.3/library,0.2.0.1,NA,R (> 3.0.2),"methods, htmltools, htmlwidgets, knitr, rmarkdown",NA,"testthat, DT, shiny, covr",NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.6.3
Formula,D:/software/R/R-3.6.3/library,1.2-3,NA,"R (>= 2.0.0), stats",NA,NA,NA,NA,GPL-2 | GPL-3,NA,NA,NA,NA,no,3.6.0
fpc,D:/software/R/R-3.6.3/library,2.2-5,NA,R (>= 2.0),"MASS, cluster, mclust, flexmix, prabclus, class, diptest,
robustbase, kernlab, grDevices, graphics, methods, stats,
utils, parallel",NA,"tclust, pdfCluster, EMMIXskew, mvtnorm",NA,GPL,NA,NA,NA,NA,no,3.6.3
fracdiff,D:/software/R/R-3.6.3/library,1.5-1,NA,NA,stats,NA,"longmemo, forecast, urca",NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.3
frbs,D:/software/R/R-3.6.3/library,3.2-0,NA,NA,NA,NA,"class, e1071, XML, R.rsp",NA,GPL (>= 2) | file LICENSE,NA,NA,NA,NA,no,3.6.3
FrF2,D:/software/R/R-3.6.3/library,2.1-1,NA,"R(>= 2.13.0), DoE.base(>= 0.25)","sfsmisc(>= 1.0-26), utils, scatterplot3d, igraph(>= 0.7),
methods",NA,"FrF2.catlg128, BsMD",NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.3
FrF2.catlg128,D:/software/R/R-3.6.3/library,1.2-1,NA,"R(>= 2.13.0), FrF2(>= 1.4)",NA,NA,NA,NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.3
fs,D:/software/R/R-3.6.3/library,1.4.1,NA,R (>= 3.1),methods,NA,"testthat, covr, pillar (>= 1.0.0), tibble (>= 1.1.0), crayon,
rmarkdown, knitr, withr, spelling",NA,GPL-3,NA,NA,NA,NA,yes,3.6.3
FSelector,D:/software/R/R-3.6.3/library,0.31,NA,NA,"randomForest, RWeka, digest, entropy",NA,"mlbench, rpart",NA,GPL-2,NA,NA,NA,NA,no,3.6.3
FSelectorRcpp,D:/software/R/R-3.6.3/library,0.3.3,NA,R (>= 3.4),"Rcpp (>= 0.12.12), foreach, iterators","Rcpp, BH, RcppArmadillo, testthat","testthat, Matrix, RcppArmadillo, dplyr, RWeka, entropy,
FSelector, randomForest, doParallel, rpart, MASS, covr,
parallel, htmltools, magrittr, knitr, RTCGA.rnaseq, ggplot2,
microbenchmark, pbapply, tibble, rmarkdown, lintr, pkgdown",NA,GPL-2,NA,NA,NA,NA,yes,3.6.3
fTrading,D:/software/R/R-3.6.3/library,3042.79,NA,"R (>= 2.15.1), timeDate, timeSeries, fBasics","graphics, stats",NA,"methods, RUnit, tcltk",NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.3
fts,D:/software/R/R-3.6.3/library,0.9.9.2,NA,"utils, stats, zoo",NA,BH,NA,NA,GPL-3,NA,NA,NA,NA,yes,3.6.3
furrr,D:/software/R/R-3.6.3/library,0.1.0,NA,"R (>= 3.2.0), future (>= 1.6.2)","globals (>= 0.10.3), rlang (>= 0.2.0), purrr (>= 0.2.4)",NA,"listenv (>= 0.6.0), dplyr (>= 0.7.4), testthat",NA,LGPL (>= 2.1),NA,NA,NA,NA,no,3.6.3
futile.logger,D:/software/R/R-3.6.3/library,1.4.3,NA,R (>= 3.0.0),"utils, lambda.r (>= 1.1.0), futile.options",NA,"testthat, jsonlite",NA,LGPL-3,NA,NA,NA,NA,no,3.6.3
future,D:/software/R/R-3.6.3/library,1.16.0,NA,NA,"digest, globals (>= 0.12.5), listenv (>= 0.8.0), parallel,
utils",NA,"RhpcBLASctl, R.rsp, markdown",NA,LGPL (>= 2.1),NA,NA,NA,NA,no,3.6.3
future.apply,D:/software/R/R-3.6.3/library,1.4.0,NA,"R (>= 3.2.0), future (>= 1.15.1)",globals (>= 0.12.5),NA,"datasets, stats, tools, listenv (>= 0.8.0), R.rsp, markdown",NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.3
future.batchtools,D:/software/R/R-3.6.3/library,0.8.1,NA,"R (>= 3.2.0), future (>= 1.14.0)",batchtools (>= 0.9.11),NA,"future.apply, listenv, markdown, R.rsp",NA,LGPL (>= 2.1),NA,NA,NA,NA,no,3.6.3
future.callr,D:/software/R/R-3.6.3/library,0.5.0,NA,"R (>= 3.2.0), future (>= 1.14.0)",callr,NA,"future.apply, listenv, markdown, R.rsp",NA,LGPL (>= 2.1),NA,NA,NA,NA,no,3.6.3
GA,D:/software/R/R-3.6.3/library,3.2,NA,"R (>= 3.4), methods, foreach, iterators","stats, graphics, grDevices, utils, cli, crayon, Rcpp","Rcpp, RcppArmadillo","parallel, doParallel, doRNG (>= 1.6), knitr (>= 1.8)",NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.3
gam,D:/software/R/R-3.6.3/library,1.16.1,NA,"stats, splines, foreach",NA,NA,akima,NA,GPL-2,NA,NA,NA,NA,yes,3.6.3
gamair,D:/software/R/R-3.6.3/library,1.0-2,NA,R (>= 2.10),NA,NA,"mgcv, lattice, MASS, nlme, lme4, geoR, survival",NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.3
GAMBoost,D:/software/R/R-3.6.3/library,1.2-3,NA,"R (>= 2.14.0), Matrix",NA,NA,"parallel, snowfall",NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.3
gamboostLSS,D:/software/R/R-3.6.3/library,2.0-1.1,NA,"R (>= 2.10.0), mboost (>= 2.8-0), stabs (>= 0.5-0), parallel","graphics, grDevices, stats, utils",NA,"gamlss, gamlss.dist, survival, BayesX, R2BayesX",NA,GPL-2,NA,NA,NA,NA,no,3.6.3
gamlss,D:/software/R/R-3.6.3/library,5.1-6,NA,"R (>= 3.3.0), graphics, stats, splines, utils, grDevices,
gamlss.data (>= 5.0-0), gamlss.dist (>= 4.3.1), nlme, parallel","MASS, survival, methods",NA,NA,NA,GPL-2 | GPL-3,NA,NA,NA,NA,yes,3.6.3
gamlss.data,D:/software/R/R-3.6.3/library,5.1-4,NA,R (>= 2.10),NA,NA,NA,NA,GPL-2 | GPL-3,NA,NA,NA,NA,no,3.6.0
gamlss.dist,D:/software/R/R-3.6.3/library,5.1-6,NA,"R (>= 2.15.0), MASS, graphics, stats, methods, grDevices",NA,NA,NA,NA,GPL-2 | GPL-3,NA,NA,NA,NA,yes,3.6.3
gamm4,D:/software/R/R-3.6.3/library,0.2-6,NA,"R (>= 2.9.0), methods, Matrix, lme4 (>= 1.0), mgcv (>= 1.7-23)",NA,NA,NA,NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.3
gapminder,D:/software/R/R-3.6.3/library,0.3.0,NA,R (>= 3.1.0),tibble,NA,"dplyr, ggplot2, testthat",NA,CC0,NA,NA,NA,NA,no,3.6.3
gbm,D:/software/R/R-3.6.3/library,2.1.5,NA,R (>= 2.9.0),"gridExtra, lattice, parallel, survival",NA,"knitr, pdp, RUnit, splines, viridis",NA,GPL (>= 2) | file LICENSE,NA,NA,NA,NA,yes,3.6.3
gclus,D:/software/R/R-3.6.3/library,1.3.2,NA,"R (>= 2.10), cluster",NA,NA,"knitr, rmarkdown",NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.3
gcookbook,D:/software/R/R-3.6.3/library,2,NA,R (>= 2.10),NA,NA,NA,NA,GPL-2,NA,NA,NA,NA,no,3.6.0
gdata,D:/software/R/R-3.6.3/library,2.18.0,NA,R (>= 2.3.0),"gtools, stats, methods, utils",NA,RUnit,NA,GPL-2,NA,NA,NA,NA,no,3.6.2
gee,D:/software/R/R-3.6.3/library,4.13-20,NA,stats,NA,NA,MASS,NA,GPL-2,NA,NA,NA,NA,yes,3.6.3
geepack,D:/software/R/R-3.6.3/library,1.3-1,NA,"R (>= 3.5.0), methods","MASS, broom, magrittr",NA,NA,NA,GPL (>= 3),NA,NA,NA,NA,yes,3.6.3
genefilter,D:/software/R/R-3.6.3/library,1.68.0,NA,NA,"BiocGenerics (>= 0.31.2), AnnotationDbi, annotate, Biobase,
graphics, methods, stats, survival",NA,"class, hgu95av2.db, tkWidgets, ALL, ROC, DESeq, pasilla,
RColorBrewer, BiocStyle, knitr",NA,Artistic-2.0,NA,NA,NA,NA,yes,3.6.1
GeneralizedHyperbolic,D:/software/R/R-3.6.3/library,0.8-4,NA,R (>= 3.0.1),"DistributionUtils, MASS",NA,"VarianceGamma, actuar, SkewHyperbolic, RUnit",NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.3
generics,D:/software/R/R-3.6.3/library,0.0.2,NA,R (>= 3.1),methods,NA,"covr, pkgload, testthat, tibble",NA,GPL-2,NA,NA,NA,NA,no,3.6.3
GenSA,D:/software/R/R-3.6.3/library,1.1.7,NA,R (>= 2.12.0),NA,NA,NA,NA,GPL-2,NA,NA,NA,NA,yes,3.6.0
geojson,D:/software/R/R-3.6.3/library,0.3.2,NA,NA,"methods, sp, jsonlite (>= 1.6), protolite (>= 1.8), jqr (>=
1.1.0), magrittr, lazyeval",NA,"geojsonlint (>= 0.2.0), tibble, testthat, knitr, rmarkdown,
sf, stringi",NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.6.3
geojsonio,D:/software/R/R-3.6.3/library,0.9.2,NA,R (>= 2.10),"methods, sp, sf (>= 0.6), rgeos, crul, maptools, jsonlite (>=
0.9.21), magrittr, readr (>= 0.2.2), V8, geojson (>= 0.2.0),
jqr",NA,"gistr, testthat, knitr, rmarkdown, leaflet, maps, DBI,
RPostgres",RColorBrewer,MIT + file LICENSE,NA,NA,NA,NA,no,3.6.3
geojsonlint,D:/software/R/R-3.6.3/library,0.4.0,NA,R (>= 2.10),"crul (>= 0.7.0), jsonlite (>= 0.9.19), jsonvalidate (>=
1.0.0), V8",NA,"testthat, knitr, rmarkdown",NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.6.3
geojsonsf,D:/software/R/R-3.6.3/library,1.3.3,NA,R (>= 3.3.0),"curl, jsonify (>= 1.1.1), Rcpp","jsonify (>= 1.1.1), rapidjsonr (>= 1.2.0), Rcpp, sfheaders
(>= 0.1.0)","covr, knitr, rmarkdown, testthat",NA,GPL-3,NA,NA,NA,NA,yes,3.6.3
geoknife,D:/software/R/R-3.6.3/library,1.6.3,NA,R (>= 3.0),"whisker, xml2, methods, httr (>= 1.0.0), curl, sp, utils,
progress (>= 1.1.2)",NA,"testthat, xtable, knitr, rmarkdown, ggmap, dplyr, rasterVis,
ggplot2, rgdal, maps",NA,CC0,NA,NA,NA,NA,no,3.6.3
geometry,D:/software/R/R-3.6.3/library,0.4.5,NA,R (>= 3.0.0),"magic, Rcpp, lpSolve, linprog","Rcpp, RcppProgress","spelling, testthat, rgl, R.matlab, tripack",NA,GPL (>= 3),NA,NA,NA,NA,yes,3.6.3
geoR,D:/software/R/R-3.6.3/library,1.8-1,NA,"R (>= 2.10), stats, methods","MASS, sp, splancs, RandomFields, graphics",NA,"scatterplot3d, lattice, tcltk",NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.3
geosphere,D:/software/R/R-3.6.3/library,1.5-10,NA,R (>= 3.0.0),sp,NA,"methods, raster",NA,GPL (>= 3),NA,NA,NA,NA,yes,3.6.3
getPass,D:/software/R/R-3.6.3/library,0.2-2,NA,R (>= 3.0.0),"utils, rstudioapi (>= 0.5)",NA,argon2,NA,BSD 2-clause License + file LICENSE,NA,NA,NA,NA,yes,3.6.3
GGally,D:/software/R/R-3.6.3/library,1.5.0,NA,"R (>= 3.1), ggplot2 (> 2.2.0)","grDevices, grid, gtable (>= 0.2.0), plyr (>= 1.8.3), progress,
RColorBrewer, reshape (>= 0.8.5), utils, rlang",NA,"broom (>= 0.4.0), chemometrics, geosphere (>= 1.5-1), igraph
(>= 1.0.1), intergraph (>= 2.0-2), maps (>= 3.1.0), mapproj,
network (>= 1.12.0), scagnostics, scales (>= 0.4.0), sna (>=
2.3-2), survival, packagedocs (>= 0.4.0), rmarkdown, roxygen2,
testthat, crosstalk",NA,GPL (>= 2.0),NA,NA,NA,NA,no,3.6.3
gganimate,D:/software/R/R-3.6.3/library,1.0.5,NA,ggplot2 (>= 3.0.0),"stringi, tweenr (>= 1.0.1), grid, rlang, glue, progress, plyr,
scales, grDevices, utils",NA,"magick, svglite, knitr, rmarkdown, testthat, base64enc,
htmltools, covr, transformr, av, gifski",NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.6.3
ggbeeswarm,D:/software/R/R-3.6.3/library,0.6.0,NA,"R (>= 3.0.0), ggplot2 (>= 2.0)","beeswarm, vipor",NA,gridExtra,NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.3
ggforce,D:/software/R/R-3.6.3/library,0.3.1,NA,"ggplot2 (>= 3.0.0), R (>= 3.3.0)","Rcpp (>= 0.12.2), grid, scales, MASS, tweenr (>= 0.1.5),
gtable, rlang, polyclip, stats, grDevices, tidyselect, withr,
utils","Rcpp, RcppEigen","sessioninfo, concaveman, deldir, reshape2, units (>= 0.4-6)",NA,MIT + file LICENSE,NA,NA,NA,NA,yes,3.6.3
ggformula,D:/software/R/R-3.6.3/library,0.9.4,NA,"R (>= 3.1), ggplot2 (>= 3.0), ggstance (>= 0.3.1)","mosaicCore, rlang, magrittr, tibble, stringr, ggforce, grid",NA,"tidyr, mosaicData, dplyr, lattice, mosaic, mosaicModel,
testthat, vdiffr, knitr, rmarkdown, lubridate, survival, broom,
scales, maps, maptools, rgeos, sf, purrr, ggthemes, covr,
ggplot2movies",NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.6.3
ggmap,D:/software/R/R-3.6.3/library,3.0.0,NA,"R (>= 3.1.0), ggplot2 (>= 2.2.0)","RgoogleMaps, png, plyr, rjson, jpeg, digest, scales, dplyr,
bitops, grid, glue, httr, stringr, purrr, magrittr, tibble,
tidyr",NA,"MASS, hexbin, testthat",NA,GPL-2,NA,NA,NA,NA,no,3.6.3
ggplot2,D:/software/R/R-3.6.3/library,3.3.0,NA,R (>= 3.2),"digest, glue, grDevices, grid, gtable (>= 0.1.1), isoband,
MASS, mgcv, rlang (>= 0.3.0), scales (>= 0.5.0), stats, tibble,
withr (>= 2.0.0)",NA,"covr, dplyr, ggplot2movies, hexbin, Hmisc, knitr, lattice,
mapproj, maps, maptools, multcomp, munsell, nlme, profvis,
quantreg, rgeos, rmarkdown, rpart, sf (>= 0.7-3), svglite (>=
1.2.0.9001), testthat (>= 2.1.0), vdiffr (>= 0.3.0)",sp,GPL-2 | file LICENSE,NA,NA,NA,NA,no,3.6.3
ggplot2movies,D:/software/R/R-3.6.3/library,0.0.1,NA,R (>= 2.10.0),NA,NA,NA,NA,GPL-3,NA,NA,NA,NA,no,3.6.0
ggpubr,D:/software/R/R-3.6.3/library,0.2.5,NA,"R (>= 3.1.0), ggplot2, magrittr","ggrepel, grid, ggsci, stats, utils, tidyr, purrr, dplyr (>=
0.7.1), cowplot, ggsignif, scales, gridExtra, glue, polynom,
rlang",NA,"grDevices, knitr, RColorBrewer, gtable",NA,GPL-2,NA,NA,NA,NA,no,3.6.3
